dA    cX  cY  fitness wavelen_pen purcell qxmin   qxmax   qscat   qtot    vmode   vmode_copy  F lat_const
0.170117 0.736111 1.700000 -256363.726886 0.989345 80019.664394 378992.381185 181563.962565 270523.486619 84439.397386 1.055233 1.055233 407114004140041.375000 0.301142

0.165952 0.722994 1.700000 -325582.257936 0.397588 80298.581757 377965.175367 173326.678295 362991.451807 89524.837609 1.114899 1.114899 402858461584615.875000 0.298298

0.165952 0.722994 1.700000 -299890.725799 0.999230 80605.630158 370952.549896 172102.735705 319820.152854 85962.328075 1.066456 1.066456 406588998889988.937500 0.298216

0.155486 0.770962 1.700000 -158099.786281 0.005610 65833.549165 181516.827509 172144.446739 123827.738822 51562.495582 0.783225 0.783225 415806591065910.625000 0.304894

0.155486 0.770962 1.700000 -102411.102582 0.984619 42820.681665 226930.589854 126582.240084 113079.405172 47281.369789 1.104171 1.104171 407198004980049.750000 0.305267

0.168622 0.684928 1.700000 -0.500000 0.955491 0.097605 309070.251078 190872.226230 564728.111509 97604.960650 1000000.000000 0.006073 405846491464914.625000 0.304626

0.163389 0.708912 1.700000 -758509.003939 0.000197 156367.513444 312286.619651 141475.211950 374936.560391 77293.608043 0.494307 0.494307 395016383163831.625000 0.295875

0.163389 0.708912 1.700000 -0.191223 0.960403 0.019398 39598.042245 47467.316507 191223.061798 19398.493143 1000000.000000 0.268036 405895991959919.625000 0.295290

0.167073 0.714506 1.700000 -345948.438831 0.719193 79951.530955 368231.499156 166722.388834 381810.894223 88239.639501 1.103664 1.103664 408996522965229.625000 0.296958

0.167073 0.714506 1.700000 -342241.844253 0.997478 77825.567548 366298.090382 163789.523455 384537.772686 87443.633517 1.123585 1.123585 406901002010020.062500 0.297104

0.170597 0.681134 1.700000 -410286.808887 0.138842 65357.660421 248485.471058 112956.263403 409832.522521 65285.293742 0.998893 0.998893 401079443794437.937500 0.292998

0.170597 0.681134 1.700000 -385766.288331 0.964635 62624.204940 253452.422212 114046.357892 405857.205012 65885.707362 1.052081 1.052081 405940992409924.125000 0.292452

0.173854 0.692194 1.700000 -414091.639430 0.580363 78313.919986 321513.043532 140708.148210 419643.889114 79363.973636 1.013408 1.013408 409650529505295.062500 0.294573

0.173854 0.692194 1.700000 -401135.555932 0.991798 76771.003759 315271.347171 140799.899686 411235.239287 78703.923484 1.025178 1.025178 407063003630036.312500 0.294836

0.179087 0.683835 1.700000 -414813.435235 0.973021 74488.257867 293168.447065 130777.541378 413186.503567 74196.108927 0.996078 0.996078 406038493384933.875000 0.294357

0.178179 0.666152 1.700000 -330908.862311 0.487285 50937.405819 202103.908882 93142.492774 350440.983321 53944.020895 1.059026 1.059026 403308466084660.875000 0.291902

0.178179 0.666152 1.700000 -323307.130127 0.990393 51044.990917 194265.506361 89491.226750 326786.496345 51594.326829 1.010762 1.010762 406306996069960.750000 0.291620

0.169850 0.702418 1.700000 -309262.198642 0.155643 73816.416544 331333.224435 141937.296222 316949.461035 75651.254961 1.024857 1.024857 412155554555545.562500 0.295532

0.169850 0.702418 1.700000 -383381.523440 0.997402 77418.129021 343908.699623 153823.772964 420046.572179 84822.083829 1.095636 1.095636 406904002040020.375000 0.295680

0.175403 0.678241 1.700000 -384454.861963 0.449967 62787.877576 248920.542588 112589.816293 397163.919510 64863.478195 1.033057 1.033057 403125464254642.562500 0.293081

