dA    cX  cY  fitness wavelen_pen purcell qxmin   qxmax   qscat   qtot    vmode   vmode_copy  F lat_const
0.168675 0.707664 1.640417 -905168.368213 0.826245 553688.725841 2076112.774720 1721917.065097 490438.937602 322434.272143 0.541821 0.541821 408447517475174.750000 0.278949

0.168675 0.707664 1.640417 -905004.375018 0.995353 543002.625011 2261524.599959 1584890.578575 549688.292532 345739.527085 0.552484 0.552484 406426997269972.687500 0.278762

0.178406 0.689166 1.572604 -929617.916429 0.534996 557770.749857 3075450.338797 2556564.922273 660192.021102 448226.216374 0.537855 0.537855 403536468364683.625000 0.276593

0.178406 0.689166 1.572604 -938625.625759 0.998705 563175.375455 4057119.766899 2788719.500201 1401791.386225 758471.729710 0.532694 0.532694 406555998559985.625000 0.276495

0.171919 0.701498 1.617813 -952156.383610 0.761780 571293.830166 2360602.122786 1758853.631373 507216.968475 337414.274742 0.525124 0.525124 408786520865208.625000 0.277914

0.171919 0.701498 1.617813 -904202.807368 0.999986 542521.684421 2875066.178047 1861973.275279 706614.344683 434767.138770 0.552973 0.552973 406715000150001.500000 0.277924

0.176784 0.692249 1.583906 -928322.501578 0.932861 556993.500947 3795007.635481 2532374.608956 1019081.940419 609880.406228 0.538606 0.538606 405645489454894.562500 0.277203

0.176784 0.692249 1.583906 -924750.416585 0.980107 554850.249951 4065037.058312 2618380.848252 1307011.724293 717864.933970 0.540686 0.540686 406132994329943.312500 0.276817

0.174081 0.692960 1.598438 -950608.062440 0.998623 570364.837464 2904504.835900 2126787.653656 659319.007133 428963.269601 0.525979 0.525979 406551498514985.125000 0.276716

0.175162 0.691538 1.608125 -949742.585104 0.971801 569845.551062 2915524.301851 2147086.991088 682668.411387 439835.205614 0.526458 0.526458 407376506765067.625000 0.277176

0.175703 0.686083 1.600052 -919008.227492 0.898808 551404.936495 4526232.917116 2679205.691061 1329843.372244 742860.653317 0.544065 0.544065 405393486934869.375000 0.276286

0.175703 0.686083 1.600052 -929997.552868 0.999980 557998.531721 3346356.018452 2372716.331203 781662.708257 500096.374207 0.537636 0.537636 406681999819998.250000 0.276274

0.172459 0.692249 1.622656 -916303.324342 0.950474 549781.994605 3565218.412388 2338895.566453 1101655.140298 618901.871768 0.545671 0.545671 407601509015090.125000 0.276886

0.174892 0.687624 1.605703 -907292.669230 0.965045 544375.601538 4265642.520913 2558210.973947 1238919.177612 698087.783759 0.551090 0.551090 405945492454924.562500 0.276372

0.173541 0.687980 1.612969 -909279.245180 0.999968 545567.547108 3958179.437207 2600886.769439 1148461.684479 663193.471700 0.549886 0.549886 406677499774997.750000 0.276357

0.174081 0.687269 1.617813 -907234.455187 0.997943 544340.673112 3992786.189337 2610316.455581 1239269.131806 694215.828252 0.551125 0.551125 406881501815018.125000 0.276480

0.174352 0.684541 1.613776 -900526.622517 0.985968 540315.973510 4304125.548408 2694256.017452 1247235.621701 711607.867796 0.555231 0.555231 406224495244952.437500 0.276157

0.172730 0.687624 1.625078 -897313.085245 0.991319 538387.851147 3711159.579590 2484920.972991 1085993.319545 627864.308815 0.557219 0.557219 407073503735037.375000 0.276411

0.173946 0.685312 1.616602 -896473.580519 0.995703 537884.148312 4242866.270001 2641693.220188 1204524.777076 692310.900810 0.557741 0.557741 406437497374973.750000 0.276232

0.173270 0.685490 1.620234 -904219.991758 0.999865 542531.995055 4111227.578117 2507167.052375 1154103.452563 662881.018610 0.552963 0.552963 406653499534995.375000 0.276201

0.173541 0.685134 1.622656 -898494.540994 0.999865 539096.724597 4082590.975755 2552478.567789 1216236.797867 685435.320687 0.556486 0.556486 406746500465004.625000 0.276232

0.173676 0.683771 1.620638 -903379.680941 0.996540 542027.808565 4078507.111013 2617186.731899 1187145.395463 680441.422205 0.553477 0.553477 406464497644976.437500 0.276072

0.173090 0.683040 1.622925 -928051.179407 0.995703 556830.707644 3447941.386055 2312609.611100 633546.195689 434620.677822 0.538763 0.538763 406437497374973.750000 0.275894

0.172564 0.683916 1.626468 -940815.644890 0.997440 564489.386934 3315645.922611 2320161.999879 625350.319698 428870.088264 0.531454 0.531454 406902502025020.250000 0.276031

0.172499 0.681147 1.631028 -933301.195906 0.999291 559980.717544 3672833.836225 2416945.630494 801645.539383 517210.491002 0.535733 0.535733 406593498934989.375000 0.275959

0.172286 0.682335 1.633739 -934621.572274 0.999575 560772.943365 3551154.269379 2393044.219852 745953.908257 490186.044423 0.534976 0.534976 406617499174991.750000 0.275903

0.172734 0.685021 1.627444 -942471.083473 0.993521 565482.650084 3177989.416479 2337331.404023 628591.555654 428566.373743 0.530520 0.530520 407022503225032.250000 0.276122

0.173247 0.685622 1.620536 -942679.785244 0.998984 565607.871146 3091296.695060 2367728.818059 623961.205042 425804.021362 0.530403 0.530403 406827501275012.750000 0.276209

0.173423 0.685180 1.623851 -895554.154706 0.999926 537332.492823 3949073.399850 2524783.889076 1156060.522074 660369.350187 0.558314 0.558314 406734500345003.437500 0.276232

0.172779 0.684232 1.625814 -900337.604479 0.998678 540202.562687 3960386.824064 2428519.441475 1056335.018115 620754.245707 0.555347 0.555347 406554498544985.437500 0.276133

0.173123 0.684311 1.624018 -892086.115710 0.999662 535251.669426 4117746.390072 2614377.727161 1175852.215798 677599.282896 0.560484 0.560484 406626499264992.625000 0.276083

